filename,title,board,link,style,description,alt_text,char_count
pin-01-ornate-black-ornate-medallion-sidelights.png,Black Ornate Steel Front Door with Medallion Detail,ornate,https://steelr.co.uk/collection/steelr-black-ornate-medallion-sidelights,panel,"Black Ornate Steel Front Door with Medallion Detail. Bespoke Craftsmanship. UK-manufactured bespoke steel entrance door, SR3 certified to BS EN 1627 Class 3 as standard with SR4 (LPS 1175) commercial-grade upgrade available. Secured by Design approved, PAS 24 compliant, FD30S fire rated. Any RAL colour specification, matched inside and out. Inspiration for: ornate front door ideas, grand entrance inspiration, ornate steel door, period door inspiration. Private consultations at steelr.co.uk.",Black Ornate Steel Front Door with Medallion Detail. Bespoke Craftsmanship. SteelR bespoke steel entrance door.,495
pin-02-traditional-navy-traditional-brass-fanlight.png,Navy Blue Traditional Steel Front Door with Brass Fanlight,traditional,https://steelr.co.uk/collection/steelr-navy-traditional-brass-fanlight,panel,"Navy Blue Traditional Steel Front Door with Brass Fanlight. Heritage Detailing. UK-manufactured bespoke steel entrance door, SR3 certified to BS EN 1627 Class 3 as standard with SR4 (LPS 1175) commercial-grade upgrade available. Secured by Design approved, PAS 24 compliant, FD30S fire rated. Any RAL colour specification, matched inside and out. Inspiration for: traditional front door UK, period property front door, traditional steel front door, heritage home entrance. Private consultations at steelr.co.uk.",Navy Blue Traditional Steel Front Door with Brass Fanlight. Heritage Detailing. SteelR bespoke steel entrance door.,511
pin-03-traditional-black-traditional-doctor-knocker-canopy.png,Black Traditional Steel Front Door with Doctor Knocker,traditional,https://steelr.co.uk/collection/steelr-black-traditional-doctor-knocker-canopy,panel,"Black Traditional Steel Front Door with Doctor Knocker. Heritage Detailing. UK-manufactured bespoke steel entrance door, SR3 certified to BS EN 1627 Class 3 as standard with SR4 (LPS 1175) commercial-grade upgrade available. Secured by Design approved, PAS 24 compliant, FD30S fire rated. Any RAL colour specification, matched inside and out. Inspiration for: traditional front door UK, period property front door, traditional steel front door, heritage home entrance. Private consultations at steelr.co.uk.",Black Traditional Steel Front Door with Doctor Knocker. Heritage Detailing. SteelR bespoke steel entrance door.,507
pin-04-traditional-cream-traditional-lion-knocker-topiary.png,Cream Traditional Steel Front Door with Lion Knocker,traditional,https://steelr.co.uk/collection/steelr-cream-traditional-lion-knocker-topiary,panel,"Cream Traditional Steel Front Door with Lion Knocker. Heritage Detailing. UK-manufactured bespoke steel entrance door, SR3 certified to BS EN 1627 Class 3 as standard with SR4 (LPS 1175) commercial-grade upgrade available. Secured by Design approved, PAS 24 compliant, FD30S fire rated. Any RAL colour specification, matched inside and out. Inspiration for: traditional front door UK, period property front door, traditional steel front door, heritage home entrance. Private consultations at steelr.co.uk.",Cream Traditional Steel Front Door with Lion Knocker. Heritage Detailing. SteelR bespoke steel entrance door.,505
pin-05-panelled-sage-panelled-arched-wreath.png,Sage Green Arched Panelled Steel Front Door,panelled,https://steelr.co.uk/collection/steelr-sage-panelled-arched-wreath,panel,"Sage Green Arched Panelled Steel Front Door. Classical Proportion. UK-manufactured bespoke steel entrance door, SR3 certified to BS EN 1627 Class 3 as standard with SR4 (LPS 1175) commercial-grade upgrade available. Secured by Design approved, PAS 24 compliant, FD30S fire rated. Any RAL colour specification, matched inside and out. Inspiration for: panelled front door ideas, classic panelled entrance, panelled steel door inspiration. Private consultations at steelr.co.uk.",Sage Green Arched Panelled Steel Front Door. Classical Proportion. SteelR bespoke steel entrance door.,476
pin-06-traditional-olive-traditional-arched-surround.png,Olive Green Arched Steel Front Door with Stone Surround,traditional,https://steelr.co.uk/collection/steelr-olive-traditional-arched-surround,panel,"Olive Green Arched Steel Front Door with Stone Surround. Heritage Detailing. UK-manufactured bespoke steel entrance door, SR3 certified to BS EN 1627 Class 3 as standard with SR4 (LPS 1175) commercial-grade upgrade available. Secured by Design approved, PAS 24 compliant, FD30S fire rated. Any RAL colour specification, matched inside and out. Inspiration for: traditional front door UK, period property front door, traditional steel front door, heritage home entrance. Private consultations at steelr.co.uk.",Olive Green Arched Steel Front Door with Stone Surround. Heritage Detailing. SteelR bespoke steel entrance door.,508
pin-07-contemporary-black-contemporary-ribbed-topiary.png,Black Contemporary Ribbed Steel Front Door,contemporary,https://steelr.co.uk/collection/steelr-black-contemporary-ribbed-topiary,panel,"Black Contemporary Ribbed Steel Front Door. Architect Ready. UK-manufactured bespoke steel entrance door, SR3 certified to BS EN 1627 Class 3 as standard with SR4 (LPS 1175) commercial-grade upgrade available. Secured by Design approved, PAS 24 compliant, FD30S fire rated. Any RAL colour specification, matched inside and out. Inspiration for: contemporary front door ideas, modern steel front door, architect front door, minimalist entrance. Private consultations at steelr.co.uk.",Black Contemporary Ribbed Steel Front Door. Architect Ready. SteelR bespoke steel entrance door.,482
pin-08-colour-ideas-red-traditional-lion-knocker.png,Statement Red Traditional Steel Front Door,colour-ideas,https://steelr.co.uk/collection/steelr-red-traditional-lion-knocker,panel,"Statement Red Traditional Steel Front Door. Bespoke RAL Colour. UK-manufactured bespoke steel entrance door, SR3 certified to BS EN 1627 Class 3 as standard with SR4 (LPS 1175) commercial-grade upgrade available. Secured by Design approved, PAS 24 compliant, FD30S fire rated. Any RAL colour specification, matched inside and out. Inspiration for: coloured front door ideas, bold front door colours, statement door colour inspiration. Private consultations at steelr.co.uk.",Statement Red Traditional Steel Front Door. Bespoke RAL Colour. SteelR bespoke steel entrance door.,473
pin-09-panelled-black-panelled-double-fingerprint.png,Black Panelled Double Steel Door with Fingerprint Access,panelled,https://steelr.co.uk/collection/steelr-black-panelled-double-fingerprint,panel,"Black Panelled Double Steel Door with Fingerprint Access. Classical Proportion. UK-manufactured bespoke steel entrance door, SR3 certified to BS EN 1627 Class 3 as standard with SR4 (LPS 1175) commercial-grade upgrade available. Secured by Design approved, PAS 24 compliant, FD30S fire rated. Any RAL colour specification, matched inside and out. Inspiration for: panelled front door ideas, classic panelled entrance, panelled steel door inspiration. Private consultations at steelr.co.uk.",Black Panelled Double Steel Door with Fingerprint Access. Classical Proportion. SteelR bespoke steel entrance door.,489
pin-10-panelled-taupe-panelled-dual-sidelights.png,Taupe Panelled Steel Front Door with Dual Sidelights,panelled,https://steelr.co.uk/collection/steelr-taupe-panelled-dual-sidelights,panel,"Taupe Panelled Steel Front Door with Dual Sidelights. Classical Proportion. UK-manufactured bespoke steel entrance door, SR3 certified to BS EN 1627 Class 3 as standard with SR4 (LPS 1175) commercial-grade upgrade available. Secured by Design approved, PAS 24 compliant, FD30S fire rated. Any RAL colour specification, matched inside and out. Inspiration for: panelled front door ideas, classic panelled entrance, panelled steel door inspiration. Private consultations at steelr.co.uk.",Taupe Panelled Steel Front Door with Dual Sidelights. Classical Proportion. SteelR bespoke steel entrance door.,485
pin-11-contemporary-walnut-ribbed-columns.png,Walnut Ribbed Contemporary Steel Front Door,contemporary,https://steelr.co.uk/collection/steelr-walnut-ribbed-columns,panel,"Walnut Ribbed Contemporary Steel Front Door. Architect Ready. UK-manufactured bespoke steel entrance door, SR3 certified to BS EN 1627 Class 3 as standard with SR4 (LPS 1175) commercial-grade upgrade available. Secured by Design approved, PAS 24 compliant, FD30S fire rated. Any RAL colour specification, matched inside and out. Inspiration for: contemporary front door ideas, modern steel front door, architect front door, minimalist entrance. Private consultations at steelr.co.uk.",Walnut Ribbed Contemporary Steel Front Door. Architect Ready. SteelR bespoke steel entrance door.,483
